"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"FO 371/5888","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 92 (papers 1700 - 2267)","Germany. Code 18 File 92 (papers 1700 - 2267).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 92 (pp.1700-2267).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2763553","253.656387"
"FO 371/6466","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 1 (papers 2378 - 2968)","Turkey. Code 44 File 1 (papers 2378 - 2968).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.2378-2968).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2764131","253.656387"
"FO 371/5892","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 92 (papers 6032 - 6971)","Germany. Code 18 File 92 (papers 6032 - 6971).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 92 (pp.6032-6971).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2763557","253.656387"
"FO 371/5166","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 262 (papers 1792 - 4278)","Turkey. Code 44 File 262 (papers 1792 - 4278).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 262 (pp.1792-4278).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2762831","253.656387"
"FO 371/6468","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 1 (papers 3719 - 4785)","Turkey. Code 44 File 1 (papers 3719 - 4785).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.3719-4785).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2764133","253.656387"
"FO 371/6237","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Arabia. Code 91 File 4 (to paper 1217)","Arabia. Code 91 File 4 (to paper 1217).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 4 (to pp.1217).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2763902","253.656387"
"FO 371/6235","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Arabia. Code 91 File 3 (to paper 6079)","Arabia. Code 91 File 3 (to paper 6079).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 3 (to pp.6079).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2763900","253.656387"
"FO 371/4933","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Caucasus. Code 58 File 1 (papers 1443 - 2157)","Caucasus. Code 58 File 1 (papers 1443 - 2157).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 1 (pp.1443-2157).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C2762598","253.656387"
"FO 372/1629","Foreign Office: Treaty Department and successors: General Correspondence from 1906.","General. Code 350 file 16 (pp. 12413 - 14000).","General. Code 350 file 16 (pp. 12413 - 14000).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 16 (pp. 12413-14000).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International;
        C10112 Treaties and alliances","","C2496226","253.656387"
"FO 371/6027","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Germany. Code 18 File 2740 (papers 9011 - 9346)","Germany. Code 18 File 2740 (papers 9011 - 9346).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 2740 (pp.9011-9346).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2763692","253.656387"
